Symbol,Name,ISIN,Exchange,Series,yfinance_symbol
ALCHEM,ALCHEMIST LTD,INE964B01033,NSE,BE,ALCHEM.NS
ALEMBICLTD,ALEMBIC LIMITED,INE426A01027,NSE,BE,ALEMBICLTD.NS
ALFREDHERB,ALFRED HERBERT (I) LTD,INE528801017,NSE,EQ,ALFREDHERB.NS
ALIANCREDT,ALLIANCE CREDIT & INVEST,INE529101011,NSE,EQ,ALIANCREDT.NS
ALICON,ALICON CASTALLOY LIMITED,INE062D01024,NSE,BE,ALICON.NS
ALIVUS,ALIVUS LIFE SCIENCES LTD,INE03Q201024,NSE,BE,ALIVUS.NS
ALKALI,ALKALI METALS LTD,INE773I01017,NSE,BE,ALKALI.NS
ALKEM,ALKEM LABORATORIES LTD.,INE540L01014,NSE,BE,ALKEM.NS
ALKYLAMINE,ALKYL AMINES CHEM. LTD,INE150B01039,NSE,BE,ALKYLAMINE.NS
ALLCARGO,ALLCARGO LOGISTICS LTD,INE418H01029,NSE,BE,ALLCARGO.NS
ALLDIGI,ALLDIGI TECH LIMITED,INE835G01018,NSE,BE,ALLDIGI.NS
ALLETEC,ALL E TECHNOLOGIES LTD,INE0M2X01012,NSE,SM,ALLETEC.NS
ALLTIME,ALL TIME PLASTICS LIMITED,INE0GV601021,NSE,BE,ALLTIME.NS
ALMONDZ,ALMONDZ GLOBAL SEC LTD,INE326B01035,NSE,BE,ALMONDZ.NS
ALOKINDS,ALOK INDUSTRIES LIMITED,INE270A01029,NSE,BE,ALOKINDS.NS
ALOKTEXT,ALOK INDUSTRIES LTD,INE270A01011,NSE,BE,ALOKTEXT.NS
ALPA,ALPA LABORATORIES LTD,INE385I01010,NSE,BE,ALPA.NS
ALPEXSOLAR,ALPEX SOLAR LIMITED,INE0R4701017,NSE,SM,ALPEXSOLAR.NS
ALPHA,KOTAKMAMC - KOTAKALPHA,INF174KA1IA5,NSE,EQ,ALPHA.NS
ALPHADRUG,ALPHA DRUG INDIA LTD-DEPO,INE256B01018,NSE,BE,ALPHADRUG.NS
ALPHADRUG,ALPHA DRUG (I) LTD,INE444101013,NSE,EQ,ALPHADRUG.NS
ALPHAETF,MIRAEAMC - ALPHAETF,INF769K01KU7,NSE,EQ,ALPHAETF.NS
ALPHAGEO,ALPHAGEO (INDIA) LIMITED,INE137C01018,NSE,BE,ALPHAGEO.NS
ALPINEIND,ALPINE INDUSTRIES LTD,INE444301019,NSE,EQ,ALPINEIND.NS
ALPL30IETF,ICICIPRAMC - ICICIALPLV,INF109KC17V7,NSE,EQ,ALPL30IETF.NS
ALPSINDUS,ALPS INDUSTRIES LTD.,INE093B01015,NSE,BE,ALPSINDUS.NS
ALSAMARINE,ALSA MARINE AND HARVESTS,INE444501014,NSE,EQ,ALSAMARINE.NS
ALTOS,ALTOS (I) LTD,INE490401010,NSE,EQ,ALTOS.NS
ALUWIND,ALUWIND INFRA-TECH LTD,INE0STM01017,NSE,SM,ALUWIND.NS
AMANTA,AMANTA HEALTHCARE LIMITED,INE084K01015,NSE,BE,AMANTA.NS
